ortho	freqfilms2	freqlivres	nblettres
mortelle	5.69	6.69	8
mortelle	0.73	0.54	8
mortellement	2.03	3.18	12
mortelles	1.22	2.3	9
mortelles	0.2	0.14	9
mortels	2.61	2.7	7
mortels	3.32	3.31	7
mortes	4.38	24.8	6
mortes	1.44	1.28	6
mortes	5.32	3.04	6
mortes-eaux	0	0.07	11
mortes-saisons	0	0.07	14
mortibus	0.02	0.34	8
mortier	1.3	3.51	7
mortiers	0.76	2.09	8
mortifia	0	0.07	8
mortifiai	0	0.07	9
mortifiaient	0	0.07	12
mortifiait	0	0.54	10
mortifiant	0.05	0.2	10
mortifiant	0.01	0	10
mortifiante	0	0.07	11
mortifiantes	0	0.07	12
mortifiants	0	0.07	11
mortification	0.54	0.68	13
mortifications	0.02	0.54	14
mortifie	0.03	0.07	8
mortifier	0.19	0.68	9
mortifié	0.91	1.28	8
mortifiée	0.49	0.74	9
mortifiés	0	0.27	9
mortifère	0.01	0.2	9
mortifères	0.01	0.14	10
morts	14.85	18.92	5
morts	78.09	66.15	5
morts	50.22	19.26	5
morts-vivants	1.05	0.54	13
mortuaire	1.61	4.59	9
mortuaires	0.25	0.88	10
morue	3.46	4.86	5
morues	0.2	0.74	6
morula	0.01	0	6
morvandiau	0	0.2	10
morve	1.6	1.82	5
morves	0	0.14	6
morveuse	0.12	0.2	8
morveuse	0.46	0.14	8
morveuses	0.01	0.07	9
morveux	1.97	0.95	7
morveux	4.51	2.3	7
mos	0.01	0	3
mosaïque	0.53	2.77	8
mosaïques	0.06	1.76	9
mosaïquée	0	0.07	9
mosaïqués	0	0.07	9
mosaïste	0	0.14	8
moscoutaire	0	0.07	11
moscovite	0.34	1.15	9
moscovite	0.23	0.14	9
moscovites	0.34	0.27	10
moscovites	0.04	0.27	10
mosellane	0	0.14	9
mosellanes	0	0.07	10
mosquée	2.71	4.32	7
mosquées	0.72	1.35	8
mot	174.83	260.47	3
mot-clé	0.41	0.14	7
mot-valise	0.01	0	10
motard	1.79	3.45	6
motarde	0.07	0.14	7
motardes	0.01	0.07	8
motards	2.23	3.24	7
motel	8.62	1.22	5
motels	0.82	0.07	6
motesse	0	0.07	7
motet	0.03	0.2	5
motets	0	0.07	6
moteur	2.54	1.28	6
moteur	26.31	41.28	6
moteur-fusée	0.01	0	12
moteurs	1.17	0.68	7
moteurs	7.32	9.8	7
moteurs-fusées	0.04	0	14
motif	12.2	15.74	5
motifs	4.36	15.41	6
motilité	0.02	0	8
motion	2.87	0.68	6
motions	0.22	0.61	7
motiva	0	0.14	6
motivai	0	0.07	7
motivaient	0	0.14	10
motivais	0.01	0	8
motivait	0.08	0.27	8
motivant	0.21	0	8
motivant	0.06	0.07	8
motivante	0.03	0	9
motivateur	0.05	0	10
motivation	3.02	0.81	10
motivations	1.79	0.47	11
motive	1.33	0.34	6
motivent	0.04	0.2	8
motiver	1.3	0.34	7
motivera	0.02	0	8
motivez	0.01	0	7
motivé	1.67	0.2	6
motivé	0.56	0.14	6
motivée	0.42	0.47	7
motivée	0.36	0.27	7
motivées	0.04	0.07	8
motivées	0.02	0.07	8
motivés	0.53	0.14	7
motivés	0.49	0	7
moto	22.61	15.27	4
moto-club	0	0.14	9
moto-cross	0.04	0.07	10
motocross	0.19	0	9
motoculteur	0	0.14	11
motoculture	0.14	0	11
motocycles	0	0.07	10
motocyclette	0.36	3.31	12
motocyclettes	0.04	0.88	13
motocyclisme	0.02	0	12
motocycliste	0.04	1.28	12
motocyclistes	0.03	1.35	13
motoneige	0.34	0	9
motoneiges	0.26	0	10
motoneurone	0.01	0	11
motorisation	0.01	0.27	12
motoriser	0	0.07	9
motorisé	0.04	0.41	8
motorisé	0.12	0.41	8
motorisée	0.04	0.34	9
motorisée	0.2	0.68	9
motorisées	0.01	0.14	10
motorisées	0	0.47	10
motorisés	0	0.47	9
motorisés	0.16	0.68	9
motos	2.62	3.99	5
motrice	0.26	0.34	7
motrice	0	0.14	7
motrices	0.2	0.14	8
motrices	0.01	0	8
motricité	0.42	0	9
mots	104.72	293.31	4
mots-clefs	0	0.07	10
mots-clés	0.17	0.2	9
mots-croisés	0.07	0	12
motte	0.26	2.97	5
mottereau	0	0.07	9
mottes	0.24	6.22	6
motteux	0	0.07	7
motu proprio	0	0.07	12
motus	0.88	1.01	5
mou	5.53	17.09	3
mou	2.37	4.59	3
mouais	1.15	0.2	6
moucha	0	1.82	6
mouchachou	0	0.07	10
mouchage	0.01	0	8
mouchai	0	0.14	7
mouchaient	0	0.2	10
mouchait	0.15	0.41	8
mouchant	0	0.2	8
mouchard	0.76	0.41	8
mouchard	4.16	1.62	8
moucharda	0	0.07	9
mouchardage	0.04	0.2	11
mouchardait	0.01	0.07	11
moucharde	0.03	0.07	9
moucharde	0.56	0.27	9
moucharde	0.25	0	9
mouchardent	0.04	0	11
moucharder	0.46	0.54	10
mouchardera	0.02	0	11
moucharderait	0.01	0.07	13
mouchardes	0.01	0	10
mouchardes	0.14	0.07	10
mouchards	0	0.07	9
mouchards	1.28	0.88	9
mouchardé	0.61	0.07	9
mouche	15.36	18.72	6
mouche	0.9	1.08	6
mouchent	0	0.2	8
moucher	0.76	1.28	7
moucheron	1.93	0.74	9
moucherons	0.26	1.69	10
mouches	9.29	28.18	7
mouches	0.04	0	7
mouchetait	0	0.07	10
mouchetant	0	0.07	10
mouchette	0	0.07	9
mouchette	0	0.14	9
moucheture	0.01	0	10
mouchetures	0.01	0.41	11
moucheté	0	0.41	8
moucheté	0.1	0.41	8
mouchetée	0	0.27	9
mouchetée	0.1	0.2	9
mouchetées	0.01	0.07	10
mouchetées	0.1	0.2	10
mouchetés	0.01	0.2	9
mouchetés	0	0.34	9
moucheur	0.01	0.07	8
mouchez	0.22	0.07	7
mouchoir	9.84	28.85	8
mouchoirs	1.69	5.74	9
mouchons	0	0.07	8
mouché	0.39	0.81	6
mouchée	0.06	0.2	7
mouchés	0.04	0.07	7
moud	0.38	0.14	4
moudjahiddine	0.03	0.07	13
moudjahidin	0.16	0	11
moudjahidine	0.01	0	12
moudrai	0.1	0	7
moudre	0.72	1.22	6
mouds	0	0.07	5
moue	0.76	17.43	4
moues	0.02	1.15	5
mouette	1.43	5.47	7
mouettes	1.81	10.34	8
moufetait	0	0.07	9
moufette	0.04	0	8
moufeté	0	0.07	7
mouffette	0.08	0.54	9
moufle	0.28	0.34	6
moufles	0.45	1.42	7
mouflet	0.17	3.18	7
mouflets	0.24	2.5	8
mouflette	0.19	2.09	9
mouflettes	0	0.34	10
mouflon	0.04	0.14	7
mouflons	0.01	0.34	8
mouftaient	0.01	0	10
mouftais	0	0.07	8
mouftait	0	0.61	8
moufte	0.02	1.28	6
mouftent	0.01	0.27	8
moufter	0.06	1.22	7
mouftera	0.01	0.07	8
mouftes	0.01	0.07	7
mouftez	0.01	0.07	7
moufté	0.06	0.47	6
mouilla	0.01	2.03	7
mouillage	0.14	1.15	9
mouillages	0	0.07	10
mouillaient	0.14	0.88	11
mouillais	0.04	0.27	9
mouillait	0.32	2.64	9
mouillant	0	0.07	9
mouillant	0.11	1.15	9
mouillante	0	0.07	10
mouillasse	0	0.07	10
mouille	0.01	0.47	7
mouille	3.26	4.19	7
mouillent	0.24	0.88	9
mouiller	4.43	7.5	8
mouillera	0.44	0	9
mouillerai	0.02	0.07	10
mouillerais	0.02	0.07	11
mouillerait	0.01	0.2	11
mouilleras	0.01	0.07	10
mouilleront	0.16	0.07	11
mouilles	0	0.27	8
mouilles	0.64	0.41	8
mouillette	0.04	0.41	10
mouillettes	0.21	0.27	11
mouilleur	0.01	0	9
mouilleuse	0	0.07	10
mouillez	0.32	0.14	8
mouillon	0	0.07	8
mouillons	0.01	0	9
mouillons	0.04	0	9
mouillure	0	0.27	9
mouillures	0	0.07	10
mouillèrent	0	0.27	11
mouillé	5.7	8.58	7
mouillé	4.1	13.31	7
mouillée	2.02	4.39	8
mouillée	5.26	10.54	8
mouillées	0.18	1.82	9
mouillées	1.6	3.92	9
mouillés	1.29	3.24	8
mouillés	1.96	5.74	8
mouise	0.81	1.01	6
moujahid	0	0.47	8
moujik	0.3	0.54	6
moujiks	0.5	0.61	7
moujingue	0	0.47	9
moujingues	0	0.81	10
moukère	0	0.2	7
moukères	0	0.2	8
moula	0	0.07	5
moulage	0.53	0.54	7
moulages	0.27	0.61	8
moulaient	0.01	0.41	9
moulait	0.12	2.03	7
moulant	0.71	1.15	7
moulant	0.03	0.2	7
moulante	0.31	0.27	8
moulantes	0.03	0	9
moulants	0.69	0.34	8
moule	3.56	3.99	5
moule	0.3	0.68	5
moulent	0.04	0.14	7
mouler	0.15	0.47	6
mouleraient	0	0.07	11
moulerait	0	0.07	9
moules	2.56	5.27	6
moules	0.11	0	6
mouleur	0	0.07	7
moulez	0.03	0	6
moulez	0.21	0	6
moulin	6.8	15.61	6
moulin-à-vent	0	0.14	13
moulinage	0.01	0	9
moulinait	0.01	0.14	9
mouline	0.02	0.14	7
moulinent	0	0.07	9
mouliner	0	0.47	8
moulines	0	0.07	8
moulinet	0.44	1.82	8
moulinets	0.06	1.35	9
moulinette	0.23	0.61	10
moulinettes	0.05	0.07	11
moulinez	0.02	0	8
moulins	0.94	3.45	7
moult	0.33	3.18	5
moulu	0.08	0.68	5
moulu	0.26	0.47	5
moulue	0.11	0.27	6
moulue	0	0.07	6
moulues	0	0.07	7
moulues	0.2	0.14	7
moulurations	0	0.07	12
moulure	0.06	0.54	7
moulures	0.16	2.16	8
mouluré	0	0.2	7
moulus	0.01	0.07	6
moulus	0.02	0.2	6
moulut	0	0.07	6
moulé	0.42	1.62	5
moulé	0.18	0.68	5
moulée	0.14	1.69	6
moulée	0.03	0.27	6
moulées	0.01	0.74	7
moulées	0.01	0.47	7
moulés	0.01	0.61	6
moulés	0.02	0.07	6
moumounes	0	0.14	9
moumoute	0.86	0.47	8
moumoutes	0.01	0.14	9
mound	0.02	0	5
mouquère	0	0.27	8
mouraient	1.22	5.95	9
mourais	2.23	1.89	7
mourait	2.92	11.35	7
mourant	6.18	3.04	7
mourant	1.39	2.7	7
mourant	1.9	4.32	7
mourante	2.71	1.89	8
mourante	0.35	1.01	8
mourantes	0.27	0.54	9
mourantes	0.02	0.07	9
mourants	0.41	0.27	8
mourants	1.11	1.35	8
mourez	2.77	1.08	6
mourides	0	0.07	8
mouriez	0.73	0	7
mourions	0.41	0.27	8
mourir	234.74	130.61	6
mouroir	0.07	0.27	7
mouron	0.53	4.12	6
mouronne	0	0.07	8
mouronner	0	0.07	9
mourons	1.33	0.47	7
mourons	0.2	0.14	7
mourra	13.63	4.93	6
mourrai	7.54	3.04	7
mourraient	1.38	0.61	10
mourrais	4.22	1.28	8
mourrait	3.45	3.78	8
mourras	7.67	1.15	7
mourre	0.03	0.07	6
mourrez	4.99	0.95	7
mourriez	0.29	0.07	8
mourrions	0.16	0.07	9
mourrons	3.41	1.15	8
mourront	3.86	1.08	8
moururent	0.91	1.22	9
mourus	0.11	0.34	6
mourussent	0	0.07	10
mourut	5.62	11.35	6
mourût	0.02	0.61	6
mourûtes	0	0.07	8
mous	1.46	5.41	4
mous	0.37	0.34	4
mouscaille	0	0.74	10
mouscailles	0	0.07	11
mousmé	0.21	0.14	6
mousmés	0.01	0.07	7
mousquet	0.48	0.54	8
mousquetades	0.01	0	12
mousquetaire	0.82	1.15	12
mousquetaires	2.19	2.5	13
mousqueterie	0.01	0.2	12
mousqueton	0.41	3.18	10
mousquetons	0.32	1.22	11
mousquets	0.83	0.41	9
moussage	0	0.07	8
moussaient	0	0.2	10
moussaillon	0.34	0.34	11
moussaillons	0.25	0	12
moussait	0	0.68	8
moussaka	0.07	0.14	8
moussakas	0	0.14	9
moussant	0.63	0.27	8
moussant	0.01	0.2	8
moussante	0.01	0.14	9
moussants	0.11	0.2	9
mousse	0.81	2.43	6
mousse	6.24	23.04	6
mousse	0.21	0.54	6
mousseline	0.36	4.19	10
mousselines	0	0.54	11
moussent	0	0.07	8
mousser	0.66	1.82	7
mousseron	0	0.2	9
mousserons	0	1.42	10
mousses	0.01	0.14	7
mousses	0.24	4.12	7
mousseuse	0.02	1.28	9
mousseuses	0	0.41	10
mousseux	0.21	2.03	8
mousseux	1.45	1.82	8
mousson	0.73	17.23	7
moussons	0.11	0.14	8
moussu	0	0.68	6
moussue	0.03	0.41	7
moussues	0.01	0.47	8
moussus	0	0.68	7
moustache	10.65	28.92	9
moustaches	2.13	16.15	10
moustachu	0.63	6.55	9
moustachue	0.04	0.54	10
moustachues	0.01	0.27	11
moustachus	0.17	1.62	10
moustagache	0	0.34	11
moustagaches	0	0.2	12
moustiquaire	0.38	1.22	12
moustiquaires	0.07	0.88	13
moustique	2.53	1.49	9
moustiques	3.44	6.08	10
moutard	0.54	1.49	7
moutarde	1.68	1.55	8
moutarde	3.94	4.93	8
moutardes	0.01	0.07	9
moutardier	0	0.14	10
moutards	0.32	1.82	8
moutardé	0	0.07	8
moutier	0.14	0	7
mouton	6.08	14.12	6
moutonnaient	0	0.07	12
moutonnait	0	0.27	10
moutonnant	0	0.07	10
moutonnant	0	0.2	10
moutonnante	0	0.2	11
moutonnantes	0	0.14	12
moutonnants	0	0.07	11
moutonne	0.01	0.14	8
moutonnement	0	1.35	12
moutonnements	0	0.07	13
moutonnent	0	0.2	10
moutonner	0	0.14	9
moutonnerie	0	0.07	11
moutonneux	0	0.2	10
moutonnier	0	0.07	10
moutonniers	0	0.07	11
moutonnière	0	0.14	11
moutons	9.13	16.35	7
mouture	0.06	0.14	7
moutures	0	0.07	8
mouvaient	0.1	1.01	9
mouvais	0.11	0.14	7
mouvait	0.1	1.22	7
mouvance	0.01	0.2	8
mouvances	0.01	0	9
mouvant	0.39	3.45	7
mouvant	0.03	1.55	7
mouvante	0.55	4.39	8
mouvantes	0.04	2.84	9
mouvants	0.81	2.5	8
mouvement	29.26	134.8	9
mouvementent	0	0.07	12
mouvements	11.07	48.18	10
mouvementé	0.1	0.07	10
mouvementé	0.16	0.34	10
mouvementée	0.37	0.2	11
mouvementée	0.47	0.74	11
mouvementées	0.03	0.07	12
mouvementées	0.16	0.34	12
mouvementés	0.01	0	11
mouvementés	0.12	0	11
mouvoir	0.58	4.26	7
moyen	41.56	28.24	5
moyen	53.27	48.72	5
moyen-oriental	0.03	0	14
moyen-oriental	0.01	0	14
moyen-orientaux	0.01	0	15
moyen-âge	1.15	0.2	9
moyennant	0.49	4.53	9
moyennant	0.02	0.07	9
moyenne	6.35	8.04	7
moyenne	6.81	7.5	7
moyenne	0.04	0.07	7
moyennement	0.42	0.54	11
moyenner	0	0.07	8
moyennes	0.63	0.81	8
moyennes	0.41	0.27	8
moyens	2.15	4.59	6
moyens	30.2	58.31	6
moyenâgeuse	0.01	0.14	11
moyenâgeuses	0.01	0.47	12
moyenâgeux	0.06	1.08	10
moyer	0.1	0	5
moyeu	0.01	0.68	5
moyeux	0.11	0.41	6
mozarabe	0.2	0.14	8
mozarabe	0.1	0	8
mozartiennes	0	0.07	12
mozzarella	0.64	0.14	10
mozzarelle	0.03	0	10
moï	0	0.27	3
moïse	0.05	0.47	5
moût	0	0.54	4
moûts	0	0.14	5
mua	0.14	0.68	3
muai	0	0.07	4
muaient	0	0.14	7
muait	0.02	1.01	5
muant	0	0.2	5
muchacho	1.03	0	8
muchachos	0.54	0.07	9
muchas	0.52	0	6
muche	0.01	0	5
mucilage	0.01	0	8
mucilagineuse	0	0.07	13
mucor	0.01	0	5
mucosité	0.01	0.07	8
mucosités	0.05	0.14	9
mucoviscidose	0.14	0	13
mucus	0.38	0.2	5
mudéjar	0.1	0.14	7
mudéjar	0	0.14	7
mudéjare	0	0.07	8
mue	0.16	2.16	3
mue	0.26	0.88	3
muent	0.16	0.2	5
muer	0.65	0.95	4
muera	0.02	0	5
mueront	0	0.07	7
mues	0.01	0.41	4
mues	0.02	0.07	4
muesli	0.06	0	6
muet	8.69	16.55	4
muet	2.67	2.3	4
muets	2.43	6.01	5
muets	0.76	0.74	5
muette	2.68	19.12	6
muette	0.89	2.3	6
muettement	0	0.68	10
muettes	0.43	4.05	7
muettes	0	0.2	7
muezzin	0.14	0.41	7
muezzins	0	0.2	8
muffin	1.3	0	6
muffins	1.65	0.34	7
mufle	0.08	0.54	5
mufle	1.56	6.08	5
muflerie	0.12	0.81	8
mufleries	0	0.2	9
mufles	0	0.14	6
mufles	0.14	0.81	6
muflier	0.68	0	7
mufliers	0	0.07	8
muflée	0.01	0.2	6
mufti	0.25	0.14	5
muftis	0.01	0.27	6
muges	0	0.07	5
mugi	0.01	0.2	4
mugir	0.04	0.95	5
mugis	0	0.07	5
mugissaient	0	0.07	11
mugissait	0	0.34	9
mugissant	0.01	0.2	9
mugissant	0.1	0.2	9
mugissante	0.1	0.14	10
mugissantes	0	0.14	11
mugissants	0	0.07	10
mugissement	0.04	1.76	11
mugissements	0.04	1.22	12
mugissent	0.01	0.14	9
mugit	0.26	0.88	5
muguet	0.38	3.85	6
muguets	0.02	0.07	7
muguette	0	0.07	8
muids	0	0.14	5
mulard	0.01	0	6
mule	7.29	4.26	4
mules	2.33	4.73	5
mulet	3.19	2.77	5
muleta	0.15	0.27	6
muletier	0.05	0.27	8
muletier	0.05	0	8
muletiers	0.32	0.27	9
muletière	0	0.14	9
mulets	0.49	4.66	6
mulettes	0.01	0	8
mulhousien	0	0.07	10
mullah	0.05	0	6
mulon	0	0.07	5
mulot	0.04	0.88	5
mulots	0.01	0.68	6
multi	2.37	0.61	5
multi-tâches	0.05	0	12
multicellulaire	0.02	0	15
multicolore	0.19	3.04	11
multicolores	0.23	10.68	12
multiconfessionnel	0.01	0	18
multicouche	0.01	0	11
multiculturalisme	0.01	0	17
multiculturel	0.03	0	13
multiculturelle	0.07	0	15
multidimensionnel	0.04	0	17
multidimensionnelle	0.06	0	19
multidimensionnels	0.01	0	18
multidisciplinaire	0.01	0.07	18
multifamilial	0.01	0	13
multifonction	0.04	0	13
multifonctionnel	0.01	0	16
multifonctions	0.14	0	14
multiforme	0.02	0.47	10
multiformes	0.01	0.27	11
multifréquences	0.01	0	15
multigrade	0	0.34	10
multimilliardaire	0.04	0	17
multimilliardaire	0.04	0	17
multimillionnaire	0.08	0	17
multimillionnaire	0.09	0	17
multimillionnaires	0.01	0	18
multimillionnaires	0.04	0	18
multimédia	0.08	0	10
multinational	0.07	0.07	13
multinationale	0.05	0.07	14
multinationale	0.48	0.27	14
multinationales	0.44	0.07	15
multinationales	1.22	0.14	15
multinationaux	0	0.07	14
multipare	0	0.07	9
multipartite	0.1	0	12
multiple	0.84	3.92	8
multiple	0.07	0.41	8
multiples	5.76	14.26	9
multiples	0.12	0.27	9
multiplex	0.02	0.07	9
multiplex	0.09	0	9
multiplexe	0.01	0	10
multiplexer	0.01	0	11
multiplexes	0.03	0	11
multiplexé	0.01	0	10
multiplia	0	0.81	9
multipliai	0	0.2	10
multipliaient	0.07	2.91	13
multipliais	0	0.2	11
multipliait	0.07	2.5	11
multipliant	0.1	2.23	11
multiplicateur	0.04	0	14
multiplication	0.28	2.03	14
multiplications	0.26	0.34	15
multiplicité	0.17	1.49	12
multiplicités	0.01	0.07	13
multiplie	1.06	2.43	9
multiplient	1.29	2.16	11
multiplier	1.39	3.51	10
multiplierai	0	0.07	12
multiplieraient	0	0.14	15
multiplierait	0	0.07	13
multiplierons	0.02	0	13
multiplieront	0.04	0.14	13
multiplies	0.14	0.07	10
multipliez	0.5	0.27	10
multipliions	0	0.07	12
multipliât	0	0.14	10
multiplièrent	0.01	0.81	13
multiplié	0.75	1.76	9
multiplié	0.01	0.54	9
multipliée	0.27	0.81	10
multipliée	0	0.14	10
multipliées	0.2	0.88	11
multipliées	0.14	0.2	11
multipliés	0.16	0.74	10
multipliés	0.1	0.54	10
multipoints	0.01	0	11
multiprise	0.03	0.14	10
multipropriété	0.23	0	14
multiracial	0.02	0	11
multiraciale	0.1	0	12
multiraciaux	0.02	0	12
multirisque	0.14	0.07	11
multirécidiviste	0.05	0	16
multiséculaires	0	0.07	15
multitude	1.31	9.66	9
multitudes	0.07	0.61	10
multitâche	0.03	0	10
multitâche	0.02	0	10
multitâches	0.01	0	11
multitâches	0.04	0	11
mulâtre	0.17	0.34	7
mulâtre	0.5	0.74	7
mulâtres	0.16	0.07	8
mulâtres	0.27	0.34	8
mulâtresse	0.01	0.2	10
mulâtresses	0.14	0.14	11
mungo	0.02	0	5
muni	0	0.2	4
muni	1.14	6.62	4
munich	0	0.07	6
munichois	0.1	0.07	9
munichois	0	0.14	9
munichoise	0	0.07	10
municipal	6.25	7.03	9
municipale	1.66	3.18	10
municipales	0.54	1.22	11
municipalité	1.77	2.57	12
municipalités	0.03	1.01	13
municipaux	1.47	3.11	10
municipe	0	0.2	8
municipes	0	0.07	9
munie	0	0.07	5
munie	0.29	3.78	5
munies	0.14	1.01	6
munificence	0	0.81	11
munificences	0.14	0.2	12
munificente	0	0.07	11
munificents	0	0.07	11
munir	0.24	0.88	5
munis	0.23	1.28	5
munis	0.25	1.69	5
munissaient	0	0.07	11
munissait	0	0.14	9
munissant	0	0.07	9
munissent	0	0.07	9
munit	0.01	0.2	5
munition	0.28	0.07	8
munitions	14.4	8.38	9
munster	0.05	0.2	7
muon	0.01	0	4
muphti	0	0.07	6
muqueuse	0.02	0.14	8
muqueuse	0.11	0.61	8
muqueuses	0.19	0	9
muqueuses	0.02	0.27	9
muqueuses	0	1.22	9
muqueux	0.15	0.07	7
mur	58.9	172.57	3
mura	0.11	0.2	4
murage	0.01	0	6
muraient	0	0.07	8
muraille	1.28	11.01	8
murailles	1.32	9.86	9
murait	0	0.34	6
mural	0.08	1.76	5
murale	0.2	1.01	6
murales	0.05	0.47	7
murant	0	0.14	6
muraux	0.02	0	6
mure	0.26	0.07	4
murent	0	0.07	6
murer	0.05	1.28	5
murerait	0	0.07	8
mures	0.01	0	5
muret	0.28	2.64	5
muretin	0	0.07	7
muretins	0	0.2	8
murets	0	0.61	6
murette	0	3.31	7
murettes	0	0.95	8
murex	0	0.07	5
murez	0	0.07	5
muriatique	0.01	0.07	10
muridés	0.02	0	7
murin	0.01	0	5
murmel	0	0.07	6
murmura	0.8	58.31	7
murmurai	0.12	3.31	8
murmuraient	0.35	1.55	11
murmurais	0.03	0.95	9
murmurait	0.55	12.5	9
murmurant	0	0.54	9
murmurant	0.38	7.64	9
murmurante	0.14	0.41	10
murmurantes	0	0.14	11
murmurants	0	0.14	10
murmuras	0	0.07	8
murmure	1.62	25.14	7
murmure	2.29	14.86	7
murmurent	0.58	0.81	9
murmurer	1.17	10.14	8
murmurera	0.01	0.07	9
murmureraient	0	0.07	13
murmurerait	0.01	0.27	11
murmureront	0.01	0	11
murmures	1.78	6.49	8
murmures	0.11	0.07	8
murmurez	0.12	0.14	8
murmurions	0.01	0.14	10
murmurèrent	0.1	0.34	11
murmuré	0.63	10.81	7
murmurée	0	0.27	8
murmurées	0.01	0.81	9
murmurés	0	0.47	8
murs	30.04	145.2	4
murène	0.41	0.2	6
murènes	0.14	0.27	7
murèrent	0	0.07	8
muré	0.38	1.96	4
murée	0.56	1.42	5
murées	0	0.61	6
murés	0.02	0.68	5
mus	0.05	0.88	3
mus	0.18	0	3
musa	0	0.07	4
musagètes	0	0.07	9
musait	0	0.14	6
musant	0	0.14	6
musaraigne	0.05	0.47	10
musaraignes	0.02	0.14	11
musard	0	0.14	6
musard	0	0.07	6
musarda	0	0.07	7
musardaient	0	0.14	11
musardait	0	0.34	9
musardant	0	0.07	9
musarde	0	0.2	7
musarder	0.03	0.54	8
musardez	0	0.07	8
musardise	0	0.07	9
musards	0	0.07	7
musards	0	0.07	7
musc	0.28	0.81	4
muscade	0.52	1.15	7
muscadelle	0	0.07	10
muscadet	0.3	1.69	8
muscadin	0	0.07	8
muscadine	0	0.07	9
muscat	0.36	1.15	6
muscats	0	0.14	7
musclant	0.01	0	8
muscle	3.86	3.92	6
muscle	0.12	0.14	6
musclent	0.01	0.14	8
muscler	0.52	0.27	7
muscles	11.75	30.61	7
muscles	0.03	0	7
musclé	0.48	0.81	6
musclé	1.52	2.5	6
musclée	0.06	0.41	7
musclée	0.17	1.28	7
musclées	0.02	0.34	8
musclées	0.14	1.28	8
musclés	0.22	0.41	7
musclés	0.76	1.96	7
muscovite	0.01	0	9
musculaire	1.66	1.82	10
musculaires	0.9	0.95	11
musculation	0.48	0.2	11
musculature	0.36	1.89	11
musculeuse	0	0.81	10
musculeuses	0	0.41	11
musculeux	0.03	1.08	9
muse	1.82	0.81	4
muse	0	0.07	4
museau	1.6	11.76	6
museaux	0.26	0.88	7
muselait	0	0.07	8
muselant	0.01	0.07	8
museler	0.19	0.34	7
muselière	0.62	0.74	9
muselières	0.12	0.07	10
muselle	0.01	0.07	7
musellerait	0	0.07	11
muselons	0.01	0	8
muselé	0.15	0.07	6
muselée	0.01	0.07	7
muselées	0	0.07	8
muselés	0.02	0.2	7
muser	0.1	0.07	5
muserolle	0	0.07	9
muses	0.6	0.54	5
musette	0.75	13.78	7
musettes	0.02	4.66	8
musettes-repas	0	0.07	14
music hall	0.02	0	10
music-hall	1.7	3.78	10
music-halls	0.13	0.54	11
musical	17.5	3.45	7
musicale	4.88	4.19	8
musicalement	0.3	0.27	12
musicales	1.63	1.96	9
musicalité	0.14	0.47	10
musicaux	0.75	0.95	8
musicien	3.07	1.96	8
musicien	4.78	5.88	8
musicienne	0.66	1.01	10
musicienne	0.79	0.14	10
musiciennes	0	0.14	11
musiciennes	0.43	0.2	11
musiciens	0.6	1.55	9
musiciens	7.31	9.86	9
musico	0	0.68	6
musicographes	0	0.07	13
musicologie	0.03	0	11
musicologique	0.02	0	13
musicologue	0.01	0.07	11
musicologues	0	0.27	12
musicothérapie	0.01	0	14
musiquait	0	0.07	9
musique	168.89	109.8	7
musique	0.26	0.14	7
musiquer	0	0.14	8
musiques	0.91	4.53	8
musiques	0.01	0	8
musiquette	0	0.34	10
musiquettes	0	0.14	11
muskogee	0.01	0	8
musoir	0	0.07	6
musqué	0	0.07	6
musqué	0.14	0.41	6
musqué	0.05	0	6
musquée	0.01	0.2	7
musquée	0.01	0.68	7
musquées	0	0.14	8
musquées	0	0.14	8
musqués	0.04	0.27	7
mussais	0	0.07	7
musse	0	0.07	5
mussent	0	0.07	7
mussolinien	0	0.14	11
mussolinienne	0	0.14	13
mussoliniens	0	0.14	12
mussée	0	0.07	6
mussés	0	0.14	6
must	3.98	0.54	4
mustang	0.32	0.07	7
mustangs	0.43	0.07	8
mustélidés	0	0.07	10
musulman	2	2.09	8
musulman	1.77	1.76	8
musulmane	1.84	2.09	9
musulmane	0.44	0.34	9
musulmanes	0.54	0.81	10
musulmanes	0.02	0.2	10
musulmans	1.47	2.09	9
musulmans	4	3.92	9
musée	0.17	0.14	5
musée	18.59	21.55	5
musées	0.17	0.14	6
musées	2.11	6.82	6
muséologie	0.01	0	10
muséologique	0.01	0	12
muséologue	0.01	0	10
muséum	0.24	0.2	6
mutabilité	0.03	0	10
mutable	0.02	0	7
mutables	0.01	0	8
mutagène	0.02	0	8
mutant	0.57	0	6
mutant	1.93	0.27	6
mutant	0.23	0	6
mutante	0.98	0	7
mutante	0.25	0	7
mutantes	0.1	0	8
mutantes	0.03	0	8
mutants	0.37	0.07	7
mutants	2.46	0.54	7
mutation	4.67	3.18	8
mutations	0.85	1.15	9
mutatis mutandis	0	0.07	16
mute	0.24	0.14	4
mutent	0.08	0	6
muter	1.88	0.47	5
mutera	0.01	0	6
muterai	0.34	0	7
muteront	0.01	0	8
mutila	0.01	0.2	6
mutilais	0.01	0	8
mutilait	0.02	0.27	8
mutilant	0	0.07	8
mutilant	0.14	0.07	8
mutilante	0	0.14	9
mutilateur	0.03	0	10
mutilation	1.13	1.82	10
mutilations	0.89	0.74	11
