ortho	freqfilms2	freqlivres	nblettres
aboyant	0.18	1.28	7
aboyante	0	0.07	8
aboyer	2.39	3.04	6
aboyeur	0.03	0	7
aboyeur	0.05	0.34	7
aboyeurs	0	0.14	8
aboyeurs	0.01	0.27	8
aboyons	0.1	0.07	7
aboyèrent	0	0.27	9
aboyé	0.28	0.54	5
abracadabra	0.98	0.27	11
abracadabrant	0.03	0.2	13
abracadabrante	0.13	0	14
abracadabrantes	0.1	0.34	15
abracadabrants	0	0.14	14
abracadabré	0.01	0	11
abrasif	0.04	0.27	7
abrasif	0.13	0.34	7
abrasifs	0.01	0	8
abrasifs	0.03	0.07	8
abrasion	0.19	0.14	8
abrasive	0.04	0	8
abrasé	0	0.07	6
abraxas	0.29	0	7
abreuva	0	0.27	7
abreuvage	0	0.07	9
abreuvaient	0	0.27	11
abreuvait	0.03	0.47	9
abreuvant	0.01	0.34	9
abreuve	0.23	1.08	7
abreuvent	0.04	0.34	9
abreuver	0.48	2.09	8
abreuvera	0.11	0	9
abreuveraient	0	0.07	13
abreuvez	0.03	0	8
abreuvoir	0.34	3.24	9
abreuvoirs	0.01	0.68	10
abreuvons	0.01	0.07	9
abreuvé	0.04	0.68	7
abreuvé	0	0.14	7
abreuvée	0.1	0.27	8
abreuvés	0.04	0.27	8
abreuvés	0.01	0	8
abri	22.7	51.08	4
abri-refuge	0	0.07	11
abribus	0.04	0.14	7
abricot	0.08	0.68	7
abricot	0.5	1.15	7
abricotez	0.01	0	9
abricotier	0.02	0.14	10
abricotiers	0	0.27	11
abricotine	0	0.07	10
abricots	0.74	1.35	8
abris	3.2	5.68	5
abrita	0.02	0.68	6
abritai	0	0.07	7
abritaient	0.14	1.49	10
abritais	0.01	0.14	8
abritait	0.23	4.53	8
abritant	0.01	0	8
abritant	0.25	1.82	8
abrite	2.09	2.7	6
abritent	0.33	1.15	8
abriter	2.37	6.96	7
abritera	0.1	0.07	8
abriterait	0.04	0.2	10
abriterons	0.03	0	10
abriteront	0.01	0.07	10
abrites	0.14	0.07	7
abritez	1.08	0.2	7
abritiez	0.01	0	8
abritions	0.01	0.14	9
abritons	0.4	0	8
abritâmes	0.01	0	9
abritèrent	0	0.07	10
abrité	0.35	3.11	6
abrité	0.13	0.68	6
abritée	0.04	1.15	7
abritée	0.02	0.34	7
abritées	0.24	0.54	8
abrités	0.02	1.08	7
abrités	0.03	0.07	7
abrogation	0.16	0.14	10
abrogent	0.23	0	8
abroger	0.09	0.07	7
abrogé	0.11	0	6
abrogé	0.01	0	6
abrogée	0.28	0	7
abrogées	0	0.14	8
abrogés	0.01	0.14	7
abrupt	0.54	2.23	6
abrupt	0	0.34	6
abrupte	0.43	2.84	7
abruptement	0.07	2.03	11
abruptes	0.24	1.55	8
abrupts	0.14	0.81	7
abrupts	0	0.14	7
abruti	5.24	3.04	6
abruti	19.13	4.39	6
abruti	1.75	1.76	6
abrutie	0.27	0.68	7
abrutie	0.38	0.47	7
abrutie	0.06	0.34	7
abruties	0.03	0.07	8
abruties	0.03	0	8
abruties	0.02	0.07	8
abrutir	0.11	0.95	7
abrutira	0	0.07	8
abrutis	0.6	0.88	7
abrutis	6.1	1.82	7
abrutis	0.13	1.55	7
abrutissaient	0	0.2	13
abrutissais	0	0.07	11
abrutissait	0.14	0.27	11
abrutissant	0	0.27	11
abrutissant	0.14	0.14	11
abrutissante	0	0.27	12
abrutissantes	0.02	0	13
abrutissants	0.03	0	12
abrutissement	0.13	1.42	13
abrutissent	0.16	0	11
abrutisseur	0	0.07	11
abrutissions	0	0.07	12
abrutit	0.19	0.41	7
abrège	1.25	1.28	6
abrègent	0.22	0.34	8
abrégea	0.02	0.14	7
abrégeai	0	0.07	8
abrégeaient	0	0.07	11
abrégeait	0	0.2	9
abrégeant	0	0.07	9
abrégeons	0.12	0.07	9
abréger	1.61	1.82	7
abrégera	0.01	0	8
abrégerai	0.01	0	9
abrégerait	0	0.07	10
abrégez	0.73	0.07	7
abrégeât	0	0.07	8
abrégé	0.19	0.41	6
abrégé	0.06	0.14	6
abrégé	0.11	0.47	6
abrégée	0.05	0.2	7
abrégée	0.13	0.2	7
abrégés	0.01	0.07	7
abrégés	0.01	0.07	7
abréviatif	0	0.07	10
abréviation	0.37	0.41	11
abréviations	0.09	0.54	12
abscisse	0.02	0	8
abscission	0	0.07	10
abscons	0.12	0.54	7
absconse	0	0.07	8
absconses	0	0.07	9
absence	22.02	72.5	7
absences	0.84	3.78	8
absent	9.46	18.18	6
absent	0.82	2.16	6
absenta	0	0.34	7
absentai	0	0.07	8
absentaient	0	0.14	11
absentais	0.04	0.14	9
absentait	0.16	1.15	9
absentant	0	0.07	9
absente	3.49	6.22	7
absente	0.47	1.49	7
absente	1.46	1.69	7
absenter	2.9	1.49	8
absentera	0.03	0.14	9
absenterai	0.03	0.07	10
absenterait	0	0.07	11
absentes	0.06	0.61	8
absentes	0.01	0.2	8
absentes	0.07	0	8
absents	1.91	4.8	7
absents	0.66	1.96	7
absentèrent	0	0.07	11
absenté	0.89	0.34	7
absentée	0.42	0.2	8
absentéisme	0.14	0.2	11
absentéiste	0.01	0	11
absentéiste	0.01	0	11
absentés	0.15	0.07	8
abside	0	1.55	6
absides	0	0.07	7
absidiales	0	0.14	10
absidiole	0	0.07	9
absinthant	0	0.07	10
absinthe	1.28	2.91	8
absolu	8.55	16.42	6
absolu	0.74	7.03	6
absolue	8.44	16.15	7
absolues	0.2	1.01	8
absolument	89.79	63.45	10
absolus	0.06	0.81	7
absolus	0.04	0.2	7
absolution	1.06	2.5	10
absolutisme	0.12	0.68	11
absolvaient	0	0.07	11
absolvait	0	0.27	9
absolvant	0	0.14	9
absolve	0.16	0	7
absolvent	0	0.2	9
absolves	0.01	0	8
absorba	0.11	2.03	7
absorbables	0	0.07	11
absorbai	0	0.07	8
absorbaient	0.04	0.68	11
absorbais	0	0.27	9
absorbait	0.2	3.11	9
absorbant	0.08	0.81	9
absorbant	0.01	0.14	9
absorbant	0.06	0.95	9
absorbante	0.04	0.27	10
absorbantes	0.01	0.2	11
absorbants	0.01	0.07	10
absorbe	1.61	3.38	7
absorbent	0.33	0.61	9
absorber	1.86	4.53	8
absorbera	0.23	0.07	9
absorberai	0.02	0	10
absorberaient	0.11	0.07	13
absorberait	0.04	0.14	11
absorbeur	0.03	0	9
absorbez	0.06	0	8
absorbions	0	0.07	10
absorbons	0	0.07	9
absorbèrent	0.01	0.41	11
absorbé	1.35	7.84	7
absorbé	0.18	2.3	7
absorbée	0.4	2.3	8
absorbée	0.06	0.61	8
absorbées	0.07	0.41	9
absorbées	0.03	0.34	9
absorbés	0.16	1.69	8
absorbés	0.02	0.47	8
absorption	0.58	1.89	10
absorptions	0	0.14	11
absoudrai	0.01	0	9
absoudrait	0.14	0.14	10
absoudre	1.08	1.55	8
absoudriez	0.01	0.07	10
absous	1.15	1.08	6
absous	0.02	0.68	6
absout	0.11	0.2	6
absoute	0	0.07	7
absoute	0	0.07	7
absoute	0	0.14	7
absoutes	0	0.07	8
abstenaient	0	0.07	11
abstenais	0.01	0.34	9
abstenait	0	0.81	9
abstenant	0.12	0.41	9
abstenez	0.57	0.07	8
absteniez	0.01	0	9
abstenions	0	0.07	10
abstenir	1.8	2.77	8
abstenons	0.02	0.2	9
abstention	0.14	1.28	10
abstentionniste	0.01	0	15
abstentionnistes	0	0.14	16
abstenu	0.17	0.81	7
abstenue	0.05	0.47	8
abstenue	0.01	0	8
abstenues	0.14	0	9
abstenus	0	0.14	8
abstiendrai	0.04	0	11
abstiendraient	0	0.07	14
abstiendrais	0.03	0	12
abstiendrait	0.02	0.07	12
abstiendras	0.01	0.07	11
abstiendrions	0	0.14	13
abstiendrons	0.12	0	12
abstiendront	0.12	0	12
abstienne	0.02	0.07	9
abstiennent	0.02	0.2	11
abstiennes	0.02	0	10
abstiens	0.84	0.14	8
